2025-03-14 12:27:13,827 | WARNING  | helper_functions.py:142 | Error: Time index '0.3303303303303303' or column 'Fx' not found.
2025-03-14 12:27:13,830 | WARNING  | helper_functions.py:142 | Error: Time index '0.34034034034034033' or column 'Fx' not found.
2025-03-14 12:27:13,833 | WARNING  | helper_functions.py:142 | Error: Time index '0.35035035035035034' or column 'Fx' not found.
2025-03-14 12:27:13,836 | WARNING  | helper_functions.py:142 | Error: Time index '0.36036036036036034' or column 'Fx' not found.
2025-03-14 12:27:13,839 | WARNING  | helper_functions.py:142 | Error: Time index '0.37037037037037035' or column 'Fx' not found.
2025-03-14 12:27:13,842 | WARNING  | helper_functions.py:142 | Error: Time index '0.38038038038038036' or column 'Fx' not found.
2025-03-14 12:27:13,845 | WARNING  | helper_functions.py:142 | Error: Time index '0.39039039039039036' or column 'Fx' not found.
2025-03-14 12:27:13,847 | WARNING  | helper_functions.py:142 | Error: Time index '0.40040040040040037' or column 'Fx' not found.
2025-03-14 12:27:13,850 | WARNING  | helper_functions.py:142 | Error: Time index '0.41041041041041043' or column 'Fx' not found.
2025-03-14 12:27:13,853 | WARNING  | helper_functions.py:142 | Error: Time index '0.42042042042042044' or column 'Fx' not found.
2025-03-14 12:27:13,856 | WARNING  | helper_functions.py:142 | Error: Time index '0.43043043043043044' or column 'Fx' not found.
2025-03-14 12:27:13,859 | WARNING  | helper_functions.py:142 | Error: Time index '0.44044044044044045' or column 'Fx' not found.
2025-03-14 12:27:13,862 | WARNING  | helper_functions.py:142 | Error: Time index '0.45045045045045046' or column 'Fx' not found.
2025-03-14 12:27:13,864 | WARNING  | helper_functions.py:142 | Error: Time index '0.46046046046046046' or column 'Fx' not found.
2025-03-14 12:27:13,867 | WARNING  | helper_functions.py:142 | Error: Time index '0.47047047047047047' or column 'Fx' not found.
2025-03-14 12:27:13,870 | WARNING  | helper_functions.py:142 | Error: Time index '0.4804804804804805' or column 'Fx' not found.
2025-03-14 12:27:13,872 | WARNING  | helper_functions.py:142 | Error: Time index '0.4904904904904905' or column 'Fx' not found.
2025-03-14 12:27:13,876 | WARNING  | helper_functions.py:142 | Error: Time index '0.5005005005005005' or column 'Fx' not found.
2025-03-14 12:27:13,878 | WARNING  | helper_functions.py:142 | Error: Time index '0.5105105105105106' or column 'Fx' not found.
2025-03-14 12:27:13,881 | WARNING  | helper_functions.py:142 | Error: Time index '0.5205205205205206' or column 'Fx' not found.
2025-03-14 12:27:13,884 | WARNING  | helper_functions.py:142 | Error: Time index '0.5305305305305306' or column 'Fx' not found.
2025-03-14 12:27:13,887 | WARNING  | helper_functions.py:142 | Error: Time index '0.5405405405405406' or column 'Fx' not found.
2025-03-14 12:27:13,890 | WARNING  | helper_functions.py:142 | Error: Time index '0.5505505505505506' or column 'Fx' not found.
2025-03-14 12:27:13,893 | WARNING  | helper_functions.py:142 | Error: Time index '0.5605605605605606' or column 'Fx' not found.
