2025-04-03 19:25:38,398 | INFO     | v3_magic_formula.py:33 | Initializing Pacejka Tire Model from hoosier_r20.par
2025-04-03 19:25:38,398 | INFO     | v3_magic_formula.py:55 | Loading parameters from: hoosier_r20.par
2025-04-03 19:25:38,424 | INFO     | v3_magic_formula.py:66 | Finished loading parameters from hoosier_r20.par
2025-04-03 19:25:38,424 | DEBUG    | v3_magic_formula.py:71 | Validating required parameters...
2025-04-03 19:25:38,424 | INFO     | v3_magic_formula.py:80 | All required parameters loaded successfully.
2025-04-03 19:25:38,463 | INFO     | v3_magic_formula.py:51 | Pacejka Tire Model initialized successfully.
2025-04-03 19:25:38,463 | INFO     | tire_tester.py:43 | --- Starting Tire Test Suite (13 cases) ---
2025-04-03 19:25:38,463 | INFO     | tire_tester.py:54 | Running Test Case 1: 'Coast Straight'
2025-04-03 19:25:38,463 | INFO     | tire_tester.py:55 |   Inputs: Fz=600.0N, gamma=0.0deg, Target Fy=0.0N, Mode=coast, Intensity=0.00
2025-04-03 19:25:38,464 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=0.00 N, Fz=600.0, gamma=0.00 deg, mode='coast', intensity=0.00
2025-04-03 19:25:38,464 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=0.00 N at Fz=600.0, gamma=0.00 deg
2025-04-03 19:25:38,464 | WARNING  | v3_magic_formula.py:453 | Alpha bracketing failed (f(a) and f(b) must have different signs).
2025-04-03 19:25:38,464 | WARNING  | v3_magic_formula.py:463 | Target Fy=0.00 N unachievable.
2025-04-03 19:25:38,464 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=0.0N.
2025-04-03 19:25:38,464 | INFO     | tire_tester.py:54 | Running Test Case 2: 'Max Accel Straight'
2025-04-03 19:25:38,464 | INFO     | tire_tester.py:55 |   Inputs: Fz=700.0N, gamma=0.0deg, Target Fy=0.0N, Mode=accelerate, Intensity=1.00
2025-04-03 19:25:38,464 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=0.00 N, Fz=700.0, gamma=0.00 deg, mode='accelerate', intensity=1.00
2025-04-03 19:25:38,464 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=0.00 N at Fz=700.0, gamma=0.00 deg
2025-04-03 19:25:38,464 | WARNING  | v3_magic_formula.py:453 | Alpha bracketing failed (f(a) and f(b) must have different signs).
2025-04-03 19:25:38,464 | WARNING  | v3_magic_formula.py:463 | Target Fy=0.00 N unachievable.
2025-04-03 19:25:38,464 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=0.0N.
2025-04-03 19:25:38,464 | INFO     | tire_tester.py:54 | Running Test Case 3: 'Max Brake Straight'
2025-04-03 19:25:38,464 | INFO     | tire_tester.py:55 |   Inputs: Fz=500.0N, gamma=0.0deg, Target Fy=0.0N, Mode=brake, Intensity=1.00
2025-04-03 19:25:38,464 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=0.00 N, Fz=500.0, gamma=0.00 deg, mode='brake', intensity=1.00
2025-04-03 19:25:38,464 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=0.00 N at Fz=500.0, gamma=0.00 deg
2025-04-03 19:25:38,464 | WARNING  | v3_magic_formula.py:453 | Alpha bracketing failed (f(a) and f(b) must have different signs).
2025-04-03 19:25:38,465 | WARNING  | v3_magic_formula.py:463 | Target Fy=0.00 N unachievable.
2025-04-03 19:25:38,465 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=0.0N.
2025-04-03 19:25:38,465 | INFO     | tire_tester.py:54 | Running Test Case 4: 'Partial Accel Straight'
2025-04-03 19:25:38,465 | INFO     | tire_tester.py:55 |   Inputs: Fz=700.0N, gamma=0.0deg, Target Fy=0.0N, Mode=accelerate, Intensity=0.50
2025-04-03 19:25:38,465 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=0.00 N, Fz=700.0, gamma=0.00 deg, mode='accelerate', intensity=0.50
2025-04-03 19:25:38,465 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=0.00 N at Fz=700.0, gamma=0.00 deg
2025-04-03 19:25:38,465 | WARNING  | v3_magic_formula.py:453 | Alpha bracketing failed (f(a) and f(b) must have different signs).
2025-04-03 19:25:38,465 | WARNING  | v3_magic_formula.py:463 | Target Fy=0.00 N unachievable.
2025-04-03 19:25:38,465 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=0.0N.
2025-04-03 19:25:38,465 | INFO     | tire_tester.py:54 | Running Test Case 5: 'Partial Brake Straight'
2025-04-03 19:25:38,465 | INFO     | tire_tester.py:55 |   Inputs: Fz=500.0N, gamma=0.0deg, Target Fy=0.0N, Mode=brake, Intensity=0.70
2025-04-03 19:25:38,465 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=0.00 N, Fz=500.0, gamma=0.00 deg, mode='brake', intensity=0.70
2025-04-03 19:25:38,465 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=0.00 N at Fz=500.0, gamma=0.00 deg
2025-04-03 19:25:38,465 | WARNING  | v3_magic_formula.py:453 | Alpha bracketing failed (f(a) and f(b) must have different signs).
2025-04-03 19:25:38,465 | WARNING  | v3_magic_formula.py:463 | Target Fy=0.00 N unachievable.
2025-04-03 19:25:38,465 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=0.0N.
2025-04-03 19:25:38,465 | INFO     | tire_tester.py:54 | Running Test Case 6: 'Cornering Coast'
2025-04-03 19:25:38,465 | INFO     | tire_tester.py:55 |   Inputs: Fz=600.0N, gamma=-2.0deg, Target Fy=-1500.0N, Mode=coast, Intensity=0.00
2025-04-03 19:25:38,465 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-1500.00 N, Fz=600.0, gamma=-2.00 deg, mode='coast', intensity=0.00
2025-04-03 19:25:38,465 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-1500.00 N at Fz=600.0, gamma=-2.00 deg
2025-04-03 19:25:38,465 | WARNING  | v3_magic_formula.py:422 | Target Fy=-1500.00 outside approx range [-21.68, 1179.79]
2025-04-03 19:25:38,466 | WARNING  | v3_magic_formula.py:463 | Target Fy=-1500.00 N unachievable.
2025-04-03 19:25:38,466 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-1500.0N.
2025-04-03 19:25:38,466 | INFO     | tire_tester.py:54 | Running Test Case 7: 'Cornering Max Accel'
2025-04-03 19:25:38,466 | INFO     | tire_tester.py:55 |   Inputs: Fz=700.0N, gamma=-2.0deg, Target Fy=-1500.0N, Mode=accelerate, Intensity=1.00
2025-04-03 19:25:38,466 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-1500.00 N, Fz=700.0, gamma=-2.00 deg, mode='accelerate', intensity=1.00
2025-04-03 19:25:38,466 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-1500.00 N at Fz=700.0, gamma=-2.00 deg
2025-04-03 19:25:38,466 | WARNING  | v3_magic_formula.py:422 | Target Fy=-1500.00 outside approx range [-29.50, 1605.82]
2025-04-03 19:25:38,466 | WARNING  | v3_magic_formula.py:463 | Target Fy=-1500.00 N unachievable.
2025-04-03 19:25:38,466 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-1500.0N.
2025-04-03 19:25:38,466 | INFO     | tire_tester.py:54 | Running Test Case 8: 'Cornering Max Brake'
2025-04-03 19:25:38,466 | INFO     | tire_tester.py:55 |   Inputs: Fz=500.0N, gamma=-2.0deg, Target Fy=-1500.0N, Mode=brake, Intensity=1.00
2025-04-03 19:25:38,466 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-1500.00 N, Fz=500.0, gamma=-2.00 deg, mode='brake', intensity=1.00
2025-04-03 19:25:38,466 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-1500.00 N at Fz=500.0, gamma=-2.00 deg
2025-04-03 19:25:38,466 | WARNING  | v3_magic_formula.py:422 | Target Fy=-1500.00 outside approx range [-15.05, 819.30]
2025-04-03 19:25:38,466 | WARNING  | v3_magic_formula.py:463 | Target Fy=-1500.00 N unachievable.
2025-04-03 19:25:38,466 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-1500.0N.
2025-04-03 19:25:38,466 | INFO     | tire_tester.py:54 | Running Test Case 9: 'Cornering Partial Accel'
2025-04-03 19:25:38,466 | INFO     | tire_tester.py:55 |   Inputs: Fz=700.0N, gamma=-2.0deg, Target Fy=-1500.0N, Mode=accelerate, Intensity=0.40
2025-04-03 19:25:38,466 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-1500.00 N, Fz=700.0, gamma=-2.00 deg, mode='accelerate', intensity=0.40
2025-04-03 19:25:38,466 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-1500.00 N at Fz=700.0, gamma=-2.00 deg
2025-04-03 19:25:38,466 | WARNING  | v3_magic_formula.py:422 | Target Fy=-1500.00 outside approx range [-29.50, 1605.82]
2025-04-03 19:25:38,466 | WARNING  | v3_magic_formula.py:463 | Target Fy=-1500.00 N unachievable.
2025-04-03 19:25:38,466 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-1500.0N.
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:54 | Running Test Case 10: 'Cornering Partial Brake'
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:55 |   Inputs: Fz=500.0N, gamma=-2.0deg, Target Fy=-1500.0N, Mode=brake, Intensity=0.60
2025-04-03 19:25:38,467 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-1500.00 N, Fz=500.0, gamma=-2.00 deg, mode='brake', intensity=0.60
2025-04-03 19:25:38,467 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-1500.00 N at Fz=500.0, gamma=-2.00 deg
2025-04-03 19:25:38,467 | WARNING  | v3_magic_formula.py:422 | Target Fy=-1500.00 outside approx range [-15.05, 819.30]
2025-04-03 19:25:38,467 | WARNING  | v3_magic_formula.py:463 | Target Fy=-1500.00 N unachievable.
2025-04-03 19:25:38,467 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-1500.0N.
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:54 | Running Test Case 11: 'High Cornering Coast'
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:55 |   Inputs: Fz=800.0N, gamma=-3.0deg, Target Fy=-3500.0N, Mode=coast, Intensity=0.00
2025-04-03 19:25:38,467 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-3500.00 N, Fz=800.0, gamma=-3.00 deg, mode='coast', intensity=0.00
2025-04-03 19:25:38,467 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-3500.00 N at Fz=800.0, gamma=-3.00 deg
2025-04-03 19:25:38,467 | WARNING  | v3_magic_formula.py:422 | Target Fy=-3500.00 outside approx range [-58.77, 2080.41]
2025-04-03 19:25:38,467 | WARNING  | v3_magic_formula.py:463 | Target Fy=-3500.00 N unachievable.
2025-04-03 19:25:38,467 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-3500.0N.
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:54 | Running Test Case 12: 'High Cornering Max Accel'
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:55 |   Inputs: Fz=800.0N, gamma=-3.0deg, Target Fy=-3500.0N, Mode=accelerate, Intensity=1.00
2025-04-03 19:25:38,467 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-3500.00 N, Fz=800.0, gamma=-3.00 deg, mode='accelerate', intensity=1.00
2025-04-03 19:25:38,467 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-3500.00 N at Fz=800.0, gamma=-3.00 deg
2025-04-03 19:25:38,467 | WARNING  | v3_magic_formula.py:422 | Target Fy=-3500.00 outside approx range [-58.77, 2080.41]
2025-04-03 19:25:38,467 | WARNING  | v3_magic_formula.py:463 | Target Fy=-3500.00 N unachievable.
2025-04-03 19:25:38,467 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-3500.0N.
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:54 | Running Test Case 13: 'Impossible Fy Target'
2025-04-03 19:25:38,467 | INFO     | tire_tester.py:55 |   Inputs: Fz=400.0N, gamma=0.0deg, Target Fy=-5000.0N, Mode=coast, Intensity=0.00
2025-04-03 19:25:38,467 | INFO     | v3_magic_formula.py:458 | Finding slips for target Fy=-5000.00 N, Fz=400.0, gamma=0.00 deg, mode='coast', intensity=0.00
2025-04-03 19:25:38,468 | DEBUG    | v3_magic_formula.py:408 | Finding alpha for target Fy=-5000.00 N at Fz=400.0, gamma=0.00 deg
2025-04-03 19:25:38,468 | WARNING  | v3_magic_formula.py:422 | Target Fy=-5000.00 outside approx range [0.00, 533.33]
2025-04-03 19:25:38,468 | WARNING  | v3_magic_formula.py:463 | Target Fy=-5000.00 N unachievable.
2025-04-03 19:25:38,468 | WARNING  | tire_tester.py:111 |   Failed: Could not find valid slips for target Fy=-5000.0N.
2025-04-03 19:25:38,468 | INFO     | tire_tester.py:116 | --- Tire Test Suite Finished ---
2025-04-03 19:31:06,427 | INFO     | v3_magic_formula.py:33 | Initializing Pacejka Tire Model from hoosier_r20.par
2025-04-03 19:31:06,427 | INFO     | v3_magic_formula.py:55 | Loading parameters from: hoosier_r20.par
2025-04-03 19:31:06,428 | INFO     | v3_magic_formula.py:66 | Finished loading parameters from hoosier_r20.par
2025-04-03 19:31:06,428 | DEBUG    | v3_magic_formula.py:71 | Validating required parameters...
2025-04-03 19:31:06,428 | INFO     | v3_magic_formula.py:80 | All required parameters loaded successfully.
