speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
79.621304575122,0.0850222875926122,1.917,8.15774684286322,5.68815347598498,1,12.375,12875.0030342472,45.0826262988343,81.5119154743482,-30.9679295541053,169.304930654352,28.2876342766892,93.8395671435649,0,59.963,1,107.815290816028,1.6,1.56,1.65342391492387,3.57392095448297,0.114060325380649,1.94978270055373,-0.0481506461938888,0,2483.13887044589,
79.817921053968,0.0946528758389594,2.13,8.19808599224855,5.67106465059815,1,12.375,12906.7965068012,44.932304192958,81.4407386662314,-31.1210625160004,170.142124676292,28.1993110873938,93.7883926993074,0,59.963,1,107.815290816028,1.6,1.56,1.86024282034248,3.58368142091938,0.106132006574169,2.16635786733844,-0.0506003944988302,0,2482.985737484,
80.0134606886954,0.104259740937357,2.343,8.2383028837194,5.65393233335999,1,12.375,12938.4158504413,44.7828053826496,81.3686203742719,-31.2737313700289,170.976781371671,28.1123076427923,93.7370827803023,0,59.963,1,107.815290816028,1.6,1.56,2.067093096916,3.59315982906052,0.103319508424227,2.38290760062818,-0.0522681103684873,0,2482.83306862997,
80.2079299014852,0.113843128449907,2.556,8.2783972172263,5.63675690920297,1,12.375,12969.8621036532,44.634124957864,81.295580099027,-31.4259349771617,171.808894513298,28.0266300598407,93.685638398803,0,59.963,1,107.815290816028,1.6,1.56,2.27397476050117,3.60251408109911,0.102215942069139,2.59942907564682,-0.0531538907787752,0,2482.68086502284,
80.4013350222253,0.12340328043166,2.769,8.31836869536126,5.61953876387881,2,9,9455.37184727193,60.6368866253163,80.5156045444469,-31.5776722083973,172.638457928804,27.9422844573619,93.5782383536611,0,59.963,1,107.815290816028,1.6,1.56,2.48088782655469,3.61179698298835,0.10168281994857,2.81591946798701,-0.0532578429089376,0,2482.5291277916,
80.5936822905018,0.132940435502382,2.982,8.35821702336597,5.60227828395901,2,9,9477.99230431855,60.5701737766668,80.6194298005306,-31.7289419447925,173.465465500806,27.2266828364613,93.5403686334131,0,59.963,1,107.815290816028,1.6,1.56,2.68783231012996,3.62102630594164,0.10133970061522,3.03237595364698,-0.0525800841401484,0,2482.37785805521,
80.7849778575377,0.142454828916447,3.195,8.39794190913983,5.58497585683558,2,9,9500.48907901215,60.5025920946578,80.7206211650797,-31.8797430774933,174.289911167085,27.3051632999081,93.5024176022879,0,59.963,1,107.815290816028,1.6,1.56,2.89480822588263,3.63020814031199,0.101059458545371,3.24879570906739,-0.0511207420539799,0,2482.22705692251,
80.9752277880829,0.151946692630914,3.408,8.43754306324794,5.56763187072175,2,9,9522.86288458049,60.3801733816489,80.7470077693219,-32.0300745077649,175.111788920741,27.3833548382465,93.4585419977695,0,59.963,1,107.815290816028,1.6,1.56,3.10181558807253,3.6393446802429,0.100799616702007,3.46517591116819,-0.0488799544307379,0,2482.07672549224,
81.1644380622542,0.16141625537184,3.621,8.47702019892912,5.55024671465274,2,9,9545.11442429832,60.2584236486228,80.7724871972601,-32.1799351470224,175.931092810366,27.3964201188279,93.4146575738967,0,59.963,1,107.815290816028,1.6,1.56,3.3088544105552,3.64843681877159,0.100545985732031,3.68151373738547,-0.0458578692476642,0,2481.92686485298,
81.3526145773294,0.170863742698886,3.834,8.51637303210374,5.53282077848655,2,9,9567.24439169834,60.1373391009018,80.7970727502313,-32.3293239168605,176.747816940204,27.4109192305705,93.3707655444666,0,59.963,1,107.815290816028,1.6,1.56,3.51592470677147,3.65748501253279,0.100293824394577,3.89780636570825,-0.0420546446770053,0,2481.77747608314,
